,DateTime,Day,Day reg,Night reg,L1 reg
190,2015-02-12,Thu,name4,name14,
191,2015-02-13,Fri,name12,name9,
192,2015-02-14,Sat,name12,name9,
193,2015-02-15,Sun,name12,name9,
194,2015-02-16,Mon,name13,name13,name5
195,2015-02-17,Tue,name13,name13,name5
196,2015-02-18,Wed,name14,name6,
197,2015-02-19,Thu,name14,name6,
198,2015-02-20,Fri,name8,name5,
199,2015-02-21,Sat,name8,name5,name12
200,2015-02-22,Sun,name8,name5,name12
201,2015-02-23,Mon,name2,name13,
202,2015-02-24,Tue,name2,name13,
203,2015-02-25,Wed,name2,name13,
204,2015-02-26,Thu,name2,name13,
205,2015-02-27,Fri,name15,name1,
206,2015-02-28,Sat,name15,name1,name4
207,2015-03-01,Sun,name15,name1,name4
208,2015-03-02,Mon,name10,name8,
209,2015-03-03,Tue,name10,name8,
210,2015-03-04,Wed,name10,name8,
211,2015-03-05,Thu,name10,name8,
212,2015-03-06,Fri,name9,name2,
213,2015-03-07,Sat,name9,name2,name12
214,2015-03-08,Sun,name9,name2,name12
215,2015-03-09,Mon,name5,name15,
216,2015-03-10,Tue,name5,name15,
217,2015-03-11,Wed,name5,name15,
218,2015-03-12,Thu,name5,name15,
219,2015-03-13,Fri,name13,name10,
220,2015-03-14,Sat,name13,name10,
221,2015-03-15,Sun,name13,name10,
222,2015-03-16,Mon,name14,name14,name6
223,2015-03-17,Tue,name14,name14,name6
224,2015-03-18,Wed,name15,name7,
225,2015-03-19,Thu,name15,name7,
226,2015-03-20,Fri,name9,name6,
227,2015-03-21,Sat,name9,name6,name13
228,2015-03-22,Sun,name9,name6,name13
229,2015-03-23,Mon,name3,name14,
230,2015-03-24,Tue,name3,name14,
231,2015-03-25,Wed,name3,name14,
232,2015-03-26,Thu,name3,name14,
233,2015-03-27,Fri,name1,name2,
234,2015-03-28,Sat,name1,name2,name5
235,2015-03-29,Sun,name1,name2,name5
236,2015-03-30,Mon,name11,name9,
237,2015-03-31,Tue,name11,name9,
238,2015-04-01,Wed,name11,name9,
239,2015-04-02,Thu,name11,name9,
240,2015-04-03,Fri,name10,name3,
241,2015-04-04,Sat,name10,name3,name13
242,2015-04-05,Sun,name10,name3,name13
243,2015-04-06,Mon,name6,name1,
244,2015-04-07,Tue,name6,name1,
245,2015-04-08,Wed,name6,name1,
246,2015-04-09,Thu,name6,name1,
247,2015-04-10,Fri,name14,name11,
248,2015-04-11,Sat,name14,name11,
249,2015-04-12,Sun,name14,name11,
250,2015-04-13,Mon,name15,name15,name7
251,2015-04-14,Tue,name15,name15,name7
252,2015-04-15,Wed,name1,name8,
253,2015-04-16,Thu,name1,name8,
254,2015-04-17,Fri,name10,name7,
255,2015-04-18,Sat,name10,name7,name14
256,2015-04-19,Sun,name10,name7,name14
257,2015-04-20,Mon,name4,name15,
258,2015-04-21,Tue,name4,name15,
259,2015-04-22,Wed,name4,name15,
260,2015-04-23,Thu,name4,name15,
261,2015-04-24,Fri,name2,name3,
262,2015-04-25,Sat,name2,name3,name6
263,2015-04-26,Sun,name2,name3,name6
264,2015-04-27,Mon,name12,name10,
265,2015-04-28,Tue,name12,name10,
266,2015-04-29,Wed,name12,name10,
267,2015-04-30,Thu,name12,name10,
268,2015-05-01,Fri,name11,name4,
269,2015-05-02,Sat,name11,name4,name14
